Op	InType	OutType	Template	DesignStat	DPD	TWDFR
and	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
and	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
and	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
and	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
and	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
nand	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nand	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nand	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
nand	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
nand	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
or	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
or	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
or	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
or	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
or	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
nor	std_logic_vector1	std_logic_vector1	sync	impl	0,341	-0,037
nor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
nor	std_logic_vector16	std_logic_vector16	sync	impl	0,469	-0,037
nor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
nor	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
xor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
xor	std_logic_vector16	std_logic_vector16	sync	impl	0,446	-0,037
xor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
xor	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
xnor	std_logic_vector1	std_logic_vector1	sync	impl	0,446	-0,037
xnor	std_logic_vector8	std_logic_vector8	sync	impl	0,469	-0,037
xnor	std_logic_vector16	std_logic_vector16	sync	impl	0,446	-0,037
xnor	std_logic_vector32	std_logic_vector32	sync	impl	0,452	-0,134
xnor	std_logic_vector64	std_logic_vector64	sync	impl	0,514	-0,080
add	unsigned1	unsigned1	sync	impl	0,341	-0,037
add	signed1	signed1	sync	impl	0,341	-0,037
add	unsigned8	unsigned8	sync	impl	0,664	-0,036
add	signed8	signed8	sync	impl	0,664	-0,036
add	unsigned16	unsigned16	sync	impl	0,872	-0,089
add	signed16	signed16	sync	impl	0,872	-0,089
add	unsigned32	unsigned32	sync	impl	0,960	-0,089
add	signed32	signed32	sync	impl	0,960	-0,089
add	unsigned64	unsigned64	sync	impl	1,123	-0,072
add	signed64	signed64	sync	impl	1,123	-0,072
gt	unsigned1	boolean	sync	impl	0,341	-0,037
gt	signed1	boolean	sync	impl	0,446	-0,037
gt	unsigned8	boolean	sync	synth	0,785	-0,155
gt	signed8	boolean	sync	synth	0,785	-0,155
gt	unsigned16	boolean	sync	impl	0,673	-0,033
gt	signed16	boolean	sync	impl	0,673	-0,033
gt	unsigned32	boolean	sync	impl	0,796	-0,049
gt	signed32	boolean	sync	impl	0,796	-0,049
gt	unsigned64	boolean	sync	impl	0,926	-0,056
gt	signed64	boolean	sync	impl	0,926	-0,056
lt	unsigned1	boolean	sync	impl	0,446	-0,037
lt	signed1	boolean	sync	impl	0,341	-0,037
lt	unsigned8	boolean	sync	synth	0,785	-0,155
lt	signed8	boolean	sync	synth	0,785	-0,155
lt	unsigned16	boolean	sync	impl	0,665	-0,033
